trait_type,trait_value,trait_unit,individual_pk,life_stage_general_initial,life_stage_general_final,species_reported,scientific_name
development,39,Days,TRAIND000001,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,46,Days,TRAIND000002,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,42,Days,TRAIND000003,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000004,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000005,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,41,Days,TRAIND000006,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,41,Days,TRAIND000007,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40,Days,TRAIND000008,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000009,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37.5,Days,TRAIND000010,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40,Days,TRAIND000011,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40,Days,TRAIND000012,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000013,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40,Days,TRAIND000014,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000015,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,41,Days,TRAIND000016,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000017,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000018,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000019,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000020,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000021,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000022,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000023,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,36,Days,TRAIND000024,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000025,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000026,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38.5,Days,TRAIND000027,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37.5,Days,TRAIND000028,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39.5,Days,TRAIND000029,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38.5,Days,TRAIND000030,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000031,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39.5,Days,TRAIND000032,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,40.5,Days,TRAIND000033,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,44,Days,TRAIND000034,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000035,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000036,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000037,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000038,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37,Days,TRAIND000039,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,39,Days,TRAIND000040,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37.5,Days,TRAIND000041,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,"",Days,TRAIND000042,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,38,Days,TRAIND000043,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
development,37.5,Days,TRAIND000044,egg,adult,Aphidius_platensis,"Aphidius platensis Brethes, 1913"
