dataset_pk,doi_dataset,dataset_publisher,doi_manuscript
TRADAT014,https://doi.org/10.5281/zenodo.7774767,zenodo,"https://doi.org/10.1127/entomologia/2021/1186 "
TRADAT015,https://doi.org/10.5281/zenodo.7313889,zenodo,https://doi.org/10.1017/S0025315407055282
TRADAT016,https://doi.org/10.48338/VU01-0OCUNQ,yoda,https://doi.org/10.1016/j.anbehav.2012.06.002
TRADAT017,https://doi.org/10.5281/zenodo.7763964,zenodo,https://doi.org/10.3390/insects12100852
TRADAT018,https://doi.org/10.5281/zenodo.4721086,zenodo,https://doi.org/10.1016/j.jtherbio.2021.103140
TRADAT019,"","",https://doi.org/10.1111/een.12422
TRADAT020,https://doi.org/10.6084/m9.figshare.13187642.v1,figshare,https://doi.org/10.14411/eje.2021.028
TRADAT021,https://doi.org/10.5281/zenodo.7775047,zenodo,https://doi.org/10.1007/s00442-013-2810-9
TRADAT022,https://doi.org/10.5061/dryad.2v6wwpzsg,dryad,https://doi.org/10.1093/evolut/qpac033
TRADAT023,https://doi.org/10.1016/j.fishres.2020.105803,"mendeley data",https://doi.org/10.1016/j.fishres.2022.106522
TRADAT024,https://doi.org/10.5281/zenodo.7764457,zenodo,https://doi.org/10.1111/1744-7917.12794
TRADAT025,https://doi.org/10.5281/zenodo.5342664,zenodo,https://doi.org/10.3390/insects12100855
TRADAT026,https://doi.org/10.5061/dryad.72g06,dryad,https://doi.org/10.1111/jeb.12888
TRADAT027,https://doi.org/10.17026/dans-zsa-f3y9,dans,https://doi.org/10.3389/fevo.2021.659363
