scientific_name,genus_name,trait_type
"Aphidius platensis Brethes, 1913",Aphidius,development
"Rana temporaria Linnaeus, 1758",Rana,development
"Rana arvalis Nilsson, 1842",Rana,development
"Drosophila (Sophophora) melanogaster Meigen, 1830",Drosophila,development
"Pelophylax kl. esculentus (Linnaeus, 1758)",Pelophylax,development
"Aphidius colemani Viereck, 1912",Aphidius,development
"Chalcolestes viridis",Chalcolestes,development
"Asobara tabida (Nees, 1834)",Asobara,development
"Leptopilina heterotoma",Leptopilina,development
"Spalangia erythromera",Spalangia,development
"Trichopria drosophilae uncertain",Drosophila,development
"Aphidius ervi Haliday, 1834",Aphidius,development
"Lycaena phlaeas (Linnaeus, 1761)",Lycaena,development
"Brachymeria nosatoi Habu, 1966",Brachymeria,development
"Opisina arenosella Walker, 1864",Opisina,development
"Aphidius matricariae Haliday, 1834",Aphidius,development
"Dysaphis (Pomaphis) plantaginea (Passerini, 1860)",Dysaphis,development
"Operophtera brumata (Linnaeus, 1758)",Operophtera,development
