genus_name,trait_type,trait_value,trait_unit,size_value_final,size_units,size_type,temperature,condition_label
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,89,Days,42.17,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,92,Days,33.52,milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,39.16,milligram,"fresh body mass",20,test
Chalcolestes,development,78,Days,39.56,milligram,"fresh body mass",20,test
Chalcolestes,development,88,Days,39.65,milligram,"fresh body mass",20,test
Chalcolestes,development,81,Days,38.63,milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,78,Days,38.38,milligram,"fresh body mass",20,test
Chalcolestes,development,75,Days,36.9,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,78,Days,39.9,milligram,"fresh body mass",20,test
Chalcolestes,development,88,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,81,Days,40.55,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,80,Days,34.62,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,44.6,milligram,"fresh body mass",20,test
Chalcolestes,development,85,Days,38.73,milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,38.95,milligram,"fresh body mass",20,test
Chalcolestes,development,89,Days,42.73,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,82,Days,42.12,milligram,"fresh body mass",20,test
Chalcolestes,development,82,Days,46.87,milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,90,Days,42.5,milligram,"fresh body mass",20,test
Chalcolestes,development,89,Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,"",Days,"",milligram,"fresh body mass",20,test
Chalcolestes,development,91,Days,37.43,milligram,"fresh body mass",20,test
Chalcolestes,development,85,Days,42.78,milligram,"fresh body mass",20,test
Chalcolestes,development,79,Days,23.38,milligram,"fresh body mass",20,test
Chalcolestes,development,88,Days,45.27,milligram,"fresh body mass",20,test
Chalcolestes,development,90,Days,45.24,milligram,"fresh body mass",20,test
