csv_value,concept_id
acclimation,AcclimationCondition
active,ActiveMetabolicRate
aerial,AerialBreathing
aquatic,AquaticBreathing
bimodal,BimodalBreathing
closed,ClosedRespirometry
comment-based,CommentBased
development,Development
fecundity,Fecundity
field,FieldOrigin
functional,Functional
gps-based,GpsBased
ind_measure,IndividualMeasure
intermittent flow-through,IntermittentFlowThrough
maintenance,MaintenanceCondition
metabolic_rate,MetabolicRate
offspring,OffspringType
open,OpenRespirometry
parent,ParentType
pop_measure,PopulationMeasure
primary,PrimaryReference
resting,RestingMetabolicRate
routine,RoutineMetabolicRate
secondary,SecondaryReference
standard,StandardMetabolicRate
terrestrial,Terrestrial
test,TestCondition
